Risk ID,Risk Name,"Type of Vote Manipulation (Adding, Subtracting, or Changing)",Probability of Manipulation Over 1 Election Cycle,Lower Bound of Impact (95% Chance Value Is Higher),Upper Bound of Impact (95% Chance Value Is Lower),Total Cost of Controls,Control Effectiveness
1,[REDACTED 1],Changing,0.01,2,100000,1000000.0,0.9
2,[REDACTED 2],Changing,0.05,1000,2000000,100000.0,0.95
3,[REDACTED 3],Changing,0.2,2,200000,10000.0,0.75
4,[REDACTED 4],Subtracting,0.05,100,200000,100000.0,0.9
5,[REDACTED 5],Subtracting,0.8,100,200000,50000.0,0.1
6,[REDACTED 6],Subtracting,0.25,1,2000000,5000000.0,0.5
7,[REDACTED 7],Changing,0.1,1,10000,100000.0,0.8
8,[REDACTED 8],Changing,0.1,1,5000000,100000.0,0.95
9,[REDACTED 9],Changing/Subtracting/Adding,0.05,1,50000,1000000.0,0.25
10,[REDACTED 10],Subtracting,0.75,1,5000,50000.0,0.5
11,[REDACTED 11],Subtracting,0.5,1,500000,100000.0,0.75
12,[REDACTED 12],Subtracting,0.8,1,500000,1000000.0,0.85
13,[REDACTED 13],Subtracting,0.05,1,500000,100000.0,0.95
14,[REDACTED 14],Adding,0.05,1,5000,5000.0,0.95
15,[REDACTED 15],Adding,0.05,1,10000,10000.0,0.95
16,[REDACTED 16],Changing,0.01,2,500000,250000.0,0.9
17,[REDACTED 17],Subtracting/Adding,0.01,1,10000,1000000.0,0.5
18,[REDACTED 18],Subtracting,0.01,1,200000,500000.0,0.7
19,[REDACTED 19],Subtracting,0.35,1,500,1000.0,0.75
20,[REDACTED 20],Changing,0.005,2,5000000,10000.0,0.95
21,[REDACTED 21],Changing,0.005,2,5000000,50000.0,0.95
22,[REDACTED 22],Subtracting,0.25,2,500000,5000.0,0.95
23,[REDACTED 23],Subtracting,0.1,20,10000,10000.0,0.75
24,[REDACTED 24],Subtracting,0.01,1,250000,500000.0,0.5
25,[REDACTED 25],Adding,0.05,1,20000,100000.0,0.95
26,[REDACTED 26],Adding,0.05,1,20000,100000.0,0.95
27,[REDACTED 27],Subtracting,0.25,1,5000,10000.0,0.95
28,[REDACTED 28],Subtracting,0.5,1,500000,10000.0,0.95
29,[REDACTED 29],Subtracting/Changing,0.5,2,20000,5000.0,0.95
30,[REDACTED 30],Subtracting,0.05,2,5000000,100000.0,0.95
31,[REDACTED 31],Subtracting,0.3,2,500000,100000.0,0.9
